iter	Passed	Remaining
0	1	124
1	1	95
2	2	88
3	3	80
4	4	79
5	4	75
6	5	72
7	6	69
8	6	68
9	7	67
10	8	65
11	8	63
12	9	61
13	9	60
14	10	59
15	11	58
16	11	57
17	12	57
18	13	56
19	13	54
20	14	54
21	15	53
22	15	52
23	16	51
24	17	51
25	17	50
26	18	49
27	18	48
28	19	47
29	20	47
30	20	46
31	21	46
32	22	45
33	22	44
34	23	43
35	24	42
36	24	41
37	25	41
38	25	40
39	26	39
40	27	39
41	27	37
42	28	37
43	28	36
44	29	35
45	29	35
46	30	34
47	31	33
48	31	33
49	32	32
50	33	31
51	33	31
52	34	30
53	35	29
54	35	29
55	36	28
56	36	27
57	37	27
58	38	26
59	38	25
60	39	25
61	40	24
62	40	24
63	41	23
64	42	22
65	43	22
66	43	21
67	44	20
68	45	20
69	45	19
70	46	18
71	47	18
72	47	17
73	48	17
74	48	16
75	49	15
76	50	15
77	50	14
78	51	13
79	52	13
80	52	12
81	53	11
82	54	11
83	55	10
84	55	9
85	56	9
86	57	8
87	57	7
88	58	7
89	59	6
90	60	5
91	61	5
92	61	4
93	62	3
94	63	3
95	63	2
96	64	1
97	65	1
98	65	0
99	66	0
